Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,1814,1841,1795,1818,2177,1915,1816,1933,3624,2915,2404,2596,2512,2726,2660,2582,2388,2370,2182,2021,2014,1977,1709,1713,1985,2305,2320,2193,2148,2201,2457,2394,2423,2620,2897,3075,3278,2938,3995,5094,6357,6995,7532,7627,7873
Albania,4435,4426,5035,4638,4855,5020,5397,5702,6400,7523,7616,6631,6846,7349,7958,7584,7657,7930,7872,7725,6486,4303,2340,2194,2338,2065,2055,1585,1817,3034,3138,3355,3908,4202,4398,4161,4108,4218,4177,3768,4092,4346,4071,4093,4032
Algeria,18851,22226,34278,46376,39187,35602,46230,51205,56452,56428,56490,53130,54726,57297,60331,69626,72366,69526,70249,70735,67633,71772,79608,79881,77406,80029,79861,78055,78083,81293,84056,82376,85968,92962,92103,97923,103290,105838,110589,114154,116213,121679,126678,132986,141473
American Samoa,6,6,6,7,7,7,7,7,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,11,12,12,12,12,13,13,14,15,15,15,16,16,17,18,21,19,19,18,19,19,20
Angola,8946,8532,10382,11366,11826,10922,7309,12049,14231,14196,14333,13246,12786,13241,13380,14130,14278,14544,14994,15157,11286,11839,12184,12200,11554,13026,15759,16483,17119,18118,16601,16280,16020,17434,17488,16199,16922,17405,19655,21474,24409,24408,24258,24641,25013
Anguilla,2,2,2,2,2,3,2,3,3,3,4,7,7,6,6,4,3,6,6,6,6,8,8,10,13,16,16,14,12,12,16,16,11,14,13,14,13,12,15,20,24,26,26,26,26
Antigua and Barbuda,196,204,245,263,227,271,234,257,246,237,235,241,286,208,239,218,235,257,289,286,290,294,293,280,299,309,315,309,306,312,334,350,342,355,369,365,364,382,384,393,415,435,437,438,443
Argentina,87478,87827,88888,93076,93251,91326,96157,99579,100344,105737,103268,101268,99316,101423,99458,93997,105324,110121,115312,113109,107016,111311,114434,116094,123670,123744,135870,140051,143635,146876,144346,134379,126592,136686,153500,158243,168375,175533,188005,180010,187706,192471,190716,201394,199043
Armenia,10951,10973,11783,12845,13898,15282,15784,16376,16986,17650,18762,19161,19677,19774,19866,20103,20240,20493,20510,20148,20744,21603,11058,5232,2939,3672,2730,3485,3615,3252,3714,3780,3250,3622,3882,4587,4625,5336,5839,4701,4279,4869,4868,4516,4457
Aruba,40,41,41,42,43,47,118,115,277,301,323,339,371,303,336,433,321,483,419,447,453,471,500,546,553,540,107,118,162,177,267,275,270,274,260,252,252,282,270,288,334,298,301,301,305
